id_cliente,id_usuario,ciudad,pais,n_doc_cliente,email_cliente,nombre_cliente,fecha_nacimiento
21,0,VP,CO,8659592718,tghed@yahoo.com,user37645,2000-01-04
22,0,BM,CO,8778754886,xpxros@gmail.com,user73182,1955-09-13
23,0,SM,CO,9516144552,wafvnb@hotmail.com,user87225,1961-01-10
24,0,CA,CO,2126865322,lhcffpnxl@hotmail.com,user40856,1970-04-12
25,0,ME,CO,1733552244,ukotrfbyln@yahoo.com,user45526,1993-05-04
26,0,BA,CO,8997177727,gnuulxx@hotmail.com,user28787,1960-01-08
27,0,CA,CO,5822883112,xkglc@outlook.com,user12185,1979-08-24
28,0,CA,CO,8951316461,lhwtlmm@hotmail.com,user46381,1997-04-10
29,0,BA,CO,5627871843,tcwhb@outlook.com,user64738,1964-02-11
30,0,VP,CO,9475695499,hoovvm@yahoo.com,user65587,2001-06-11
31,0,VP,CO,6449752615,attxyfzs@outlook.com,user51770,1964-07-19
32,0,BM,CO,2127938389,qvbcowtoj@gmail.com,user96783,1997-06-22
33,0,ME,CO,3874856288,lrzsfn@gmail.com,user62718,1997-04-23
34,0,CT,CO,3418675489,asxfqcitqg@hotmail.com,user00778,1965-08-28
35,0,CT,CO,4898864896,ulwicgm@yahoo.com,user20849,1992-07-04
36,0,ME,CO,4812267184,pbjga@gmail.com,user29283,1964-10-06
37,0,BO,CO,9246681521,tmtfg@gmail.com,user90073,1953-02-04
38,0,ME,CO,5424417381,myikmtenf@hotmail.com,user83632,1956-09-13
39,0,CT,CO,1537293529,acfunp@hotmail.com,user56805,1986-02-12
40,0,VP,CO,2679265922,dpwcuuq@gmail.com,user89066,1978-10-03
