id_cliente,id_usuario,ciudad,pais,n_doc_cliente,email_cliente,nombre_cliente,fecha_nacimiento
41,0,BOG,COL,,nnbotypya@outlook.com,user50178,1976-04-10
42,0,VDP,COL,,jrlbunnn@outlook.com,user68691,1953-09-21
43,0,CAL,COL,,yqaxu@hotmail.com,user96889,1955-01-01
44,0,MED ,COL,,omqkp@gmail.com,user18843,1998-01-27
45,0,BOG,COL,,alsymrld@yahoo.com,user31992,1955-07-05
46,0,CAL,COL,,zdxjsdhhe@hotmail.com,user24800,2000-12-25
47,0,MED ,COL,,eojacemy@gmail.com,user03888,1970-11-13
48,0,MED ,COL,,gdfczcol@yahoo.com,user22146,1953-02-06
49,0,BCM,COL,,ljdmg@outlook.com,user76508,1965-08-17
50,0,CTG,COL,,pgvtcalzfe@yahoo.com,user33326,1950-04-22
51,0,MED ,COL,,dmunmsjja@outlook.com,user46888,1952-12-24
52,0,VDP,COL,,zchubrejqr@gmail.com,user26072,1954-04-16
53,0,VDP,COL,,efwejwv@gmail.com,user40671,1973-02-18
54,0,BAQ,COL,,ayunq@gmail.com,user58529,1981-02-08
55,0,MED ,COL,,ebtyhk@gmail.com,user28023,1964-12-17
56,0,VDP,COL,,pposk@outlook.com,user84944,2002-12-08
57,0,BAQ,COL,,awrreop@outlook.com,user33146,1991-08-20
58,0,VDP,COL,,ffyynsgk@gmail.com,user39756,1973-09-09
59,0,BCM,COL,,aplaiyfgd@outlook.com,user07097,1999-03-14
60,0,SMT,COL,,wnwyo@outlook.com,user59502,1964-10-02
